
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019000                       # Number of seconds simulated (Second)
simTicks                                  19000363599                       # Number of ticks simulated (Tick)
finalTick                                 19000363599                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    701.47                       # Real time elapsed on the host (Second)
hostTickRate                                 27086309                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     752144                       # Number of bytes of host memory used (Byte)
simInsts                                    218486170                       # Number of instructions simulated (Count)
simOps                                      347961072                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   311467                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     496042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        50687738                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      181175549                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  259999                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     177932707                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 14887                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             8908169                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15298761                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              96445                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           50496308                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.523678                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.551236                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  1711      0.26%     53.60% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     6      0.00%     53.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    39      0.01%     53.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                 5671      0.87%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     54.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd             1117      0.17%     54.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     54.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     54.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     54.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv              149      0.02%     54.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     54.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult           29181      4.46%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     59.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                100851     15.42%     74.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite                97211     14.86%     89.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead            66353     10.15%     99.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite            2848      0.44%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass       132852      0.07%      0.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu     97851397     54.99%     55.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult         8871      0.00%     55.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv         8104      0.00%     55.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd     11470239      6.45%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd          378      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     61.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu       802781      0.45%     61.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp           42      0.00%     61.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt          933      0.00%     61.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc       263668      0.15%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift          186      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     62.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd     21676989     12.18%     74.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     74.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp           19      0.00%     74.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt       454555      0.26%     74.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv       723520      0.41%     74.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     74.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult     24237437     13.62%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt         5846      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead      2567343      1.44%     90.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      1046962      0.59%     90.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead     14239869      8.00%     98.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite      2440716      1.37%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     177932707                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        3.510370                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                             654000                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.003676                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               188751721                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               75467302                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       68276117                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                218278888                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites               114905509                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses       108480256                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   69216290                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                   109237565                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                        177202162                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     16743422                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                   730545                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          20198757                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       9692457                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     3455335                       # Number of stores executed (Count)
system.cpu0.numRate                          3.495957                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                           2232                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         191430                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                     2534570                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                  108230165                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    172527373                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.468333                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.468333                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              2.135234                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         2.135234                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                  85456203                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                 49962848                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                  210332909                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                 105897586                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                   44050933                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  37357290                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                 40194410                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads      17259190                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      3737229                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads      1904674                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      1325021                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups               10574528                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          8597037                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect           265491                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups             5656823                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                5651357                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999034                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                 275369                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 2                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups          26224                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits             23030                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            3194                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          544                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts        8873866                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls         163554                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts           264549                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples     49267453                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     3.501853                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.878041                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0       10305075     20.92%     20.92% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1        5289825     10.74%     31.65% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2        6365761     12.92%     44.57% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        6959071     14.13%     58.70% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        2090113      4.24%     62.94% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        3842468      7.80%     70.74% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6        2886589      5.86%     76.60% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7        3491921      7.09%     83.69% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8        8036630     16.31%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total     49267453                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           108230165                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             172527373                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   19205758                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     15886590                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                     109036                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   9509384                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                 106895327                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                   81569799                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls               177253                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       118961      0.07%      0.07% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu     94369360     54.70%     54.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult         4670      0.00%     54.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv         7484      0.00%     54.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd     10828932      6.28%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd          374      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     61.05% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu       754134      0.44%     61.49% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp           42      0.00%     61.49% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt          876      0.00%     61.49% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc       255194      0.15%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift          186      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     61.64% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd     21641799     12.54%     74.18% # Class of committed instruction (Count)
