
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009349                       # Number of seconds simulated (Second)
simTicks                                   9348672249                       # Number of ticks simulated (Tick)
finalTick                                  9348672249                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    217.66                       # Real time elapsed on the host (Second)
hostTickRate                                 42949992                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     749160                       # Number of bytes of host memory used (Byte)
simInsts                                     54404560                       # Number of instructions simulated (Count)
simOps                                       89387233                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   249947                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     410665                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        26024646                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       67228084                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1281                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67089950                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1362                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              783385                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           771596                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                588                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           25855215                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.594832                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.554490                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     63.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 14083      9.23%     72.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     72.63% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    38      0.02%     72.65% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                  126      0.08%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     72.74% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd              362      0.24%     72.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     72.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     72.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                5      0.00%     72.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     72.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     72.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult           25039     16.42%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                   421      0.28%     89.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite                  613      0.40%     90.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead             3166      2.08%     92.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite           11973      7.85%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass       141347      0.21%      0.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu     40211960     59.94%     60.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult       132373      0.20%     60.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv        14692      0.02%     60.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd      3903640      5.82%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd          378      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     66.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu      1789452      2.67%     68.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     68.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt          621      0.00%     68.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc       347503      0.52%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift          188      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     69.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd      4084275      6.09%     75.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     75.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     75.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt       427751      0.64%     76.10% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv        66054      0.10%     76.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     76.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult      3225674      4.81%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     81.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead      3073636      4.58%     85.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      1991555      2.97%     88.55% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead      5070443      7.56%     96.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite      2608408      3.89%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total      67089950                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        2.577939                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                             152500                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.002273                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               104780786                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               39971528                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       39383313                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                 55408191                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                28041516                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses        27607719                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   39361946                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                    27739157                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                         67018394                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                      8133576                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                    71556                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          12725090                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       3880465                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     4591514                       # Number of stores executed (Count)
system.cpu0.numRate                          2.575189                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            972                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         169431                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                      162112                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                   39456566                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                     66445974                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.659577                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.659577                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.516123                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.516123                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                  63113953                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                 31405050                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                   41782276                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                  24509536                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                   19915427                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  19549574                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                 21961080                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads       8153460                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      4620181                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads       637495                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores       156302                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                3920447                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          2809142                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect            27217                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups             2283619                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                2281430                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999041                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                 464868                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 4                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups           1411                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               355                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            1056                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          204                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         756384                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            693                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts            26457                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples     25747270                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     2.580700                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     3.042116                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0       10290573     39.97%     39.97% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1        3796149     14.74%     54.71% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2        1978181      7.68%     62.39% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        2006358      7.79%     70.19% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        1235756      4.80%     74.99% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5         605942      2.35%     77.34% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6         632149      2.46%     79.80% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7         708535      2.75%     82.55% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8        4493627     17.45%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total     25747270                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted            39456566                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted              66445974                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   12614793                       # Number of memory references committed (Count)
system.cpu0.commit.loads                      8051435                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        462                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   3846746                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                  27414580                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                   46823514                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls               460540                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       135261      0.20%      0.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu     39822859     59.93%     60.14% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult       131841      0.20%     60.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv        14679      0.02%     60.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd      3850550      5.80%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd          374      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     66.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu      1749868      2.63%     68.79% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     68.79% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt          558      0.00%     68.79% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc       343795      0.52%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift          186      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     69.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd      4074534      6.13%     75.44% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     75.44% # Class of committed instruction (Count)
