
---------- Begin Simulation Statistics ----------
simSeconds                                   0.065845                       # Number of seconds simulated (Second)
simTicks                                  65845084998                       # Number of ticks simulated (Tick)
finalTick                                 65845084998                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1407.55                       # Real time elapsed on the host (Second)
hostTickRate                                 46779946                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     784852                       # Number of bytes of host memory used (Byte)
simInsts                                    430066556                       # Number of instructions simulated (Count)
simOps                                      647121143                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   305543                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     459750                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       178395120                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      390142931                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   12117                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     383637801                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 62080                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            19905354                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         36414124                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4908                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          178087407                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.154211                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.533906                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     86.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                125397      6.33%     93.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite                52890      2.67%     95.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead            65907      3.33%     99.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite           17383      0.88%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass       505892      0.13%      0.13% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu    183160487     47.74%     47.87% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult       442159      0.12%     47.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv       138109      0.04%     48.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd     34335032      8.95%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd          378      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     56.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu       228993      0.06%     57.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     57.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt        51092      0.01%     57.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc       160619      0.04%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift          186      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     57.09% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd     41999534     10.95%     68.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     68.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            2      0.00%     68.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt       113423      0.03%     68.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv        58287      0.02%     68.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     68.08% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult     41509668     10.82%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt         1968      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     78.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead     22484577      5.86%     84.76% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      9025624      2.35%     87.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead     36631658      9.55%     96.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite     12790113      3.33%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     383637801                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        2.150495                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                            1980876                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.005163                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               533904262                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites              201481936                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses      175659078                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                413501703                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites               208586556                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses       206291897                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                  178185375                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                   206927410                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                        382780644                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     58894100                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                   857157                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          80671687                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                      19962932                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                    21777587                       # Number of stores executed (Count)
system.cpu0.numRate                          2.145690                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                           1758                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         307713                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                     6044895                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                  240582047                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    370249688                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.741515                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.741515                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.348591                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.348591                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                 290948464                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                127987048                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                  341852299                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                 193506905                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                   97642543                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  82020263                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                126330869                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads      60507412                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores     22686135                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads     14301038                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores     12034107                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups               22540717                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted         21338557                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect           352465                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups            16030735                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits               16021006                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999393                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                 368822                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                24                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups          13162                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits              9241                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            3921                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          396                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts       19793609                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls           7209                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts           346869                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    175388530                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     2.111026                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     3.064726                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      103009913     58.73%     58.73% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1        9125449      5.20%     63.94% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2       10462125      5.97%     69.90% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        7177916      4.09%     73.99% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        2409398      1.37%     75.37% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        7975815      4.55%     79.91% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6        5474827      3.12%     83.04% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7        1724084      0.98%     84.02% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8       28029003     15.98%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    175388530                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           240582047                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             370249688                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   77979841                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     56787640                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                       4804                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                  19027163                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                 205554048                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                  213235655                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls               336873                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       378204      0.10%      0.10% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu    173228736     46.79%     46.89% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult       434723      0.12%     47.01% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv       137296      0.04%     47.04% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd     34066384      9.20%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd          374      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     56.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu       212882      0.06%     56.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     56.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt        50184      0.01%     56.32% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc       158246      0.04%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift          186      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     56.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd     41985753     11.34%     67.70% # Class of committed instruction (Count)
